Url,Brand,Model,Movement,Limited,Case Material,Glass,Case Back,Case Shape,Case Diameter,Water Resistance,Dial Color,Dial Indexes,Dial Hands,Price
https://watchbase.com/patek-philippe/pocket-watches/992-121j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,Red,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-122g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Black,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-150g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,No,White Gold,Sapphire,Hinged,Round,44.1,100.0,Multi-Color,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-145j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,No,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,Red,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/982-179r,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,Rose Gold,Sapphire,Hinged,Round,44.1,100.0,Beige,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/982-146g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,White Gold,Sapphire,Hinged,Round,42.0,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-176g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Beige,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-102j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,No,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,Red,Gem-Set Indexes,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/995-131g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Grey,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/995-109g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,White,Stick / Dot,Feuille,
